"Indicator","Country","2000_value","2000_notes","2000_source","2001_value","2001_notes","2001_source","2002_value","2002_notes","2002_source","2003_value","2003_notes","2003_source","2004_value","2004_notes","2004_source","2005_value","2005_notes","2005_source","2006_value","2006_notes","2006_source","2007_value","2007_notes","2007_source","2008_value","2008_notes","2008_source","2009_value","2009_notes","2009_source","2010_value","2010_notes","2010_source","2011_value","2011_notes","2011_source","2012_value","2012_notes","2012_source","2013_value","2013_notes","2013_source","2014_value","2014_notes","2014_source","2015_value","2015_notes","2015_source","2016_value","2016_notes","2016_source","2017_value","2017_notes","2017_source","2018_value","2018_notes","2018_source","2019_value","2019_notes","2019_source"
"Mobile-cellular subscriptions per 100 inhabitants","Gabon","9.77","","","11.92","","","21.68","","","22.73","","","36.15","","","52.98","","","62.79","","","79.38","","","85.61","","ITU estimate.","92.42","","ITU estimate.","99.13","","","140.70","","","146.18","","ITU estimate.","151.08","","","155.68","","","144.87","","","147.54","","","128.98","","","138.28","","","137.75","",""
"Mobile-cellular subscriptions per 100 inhabitants","Gambia","0.42","","","4.05","","","7.12","","","10.30","","","11.69","","","16.03","","","25.41","","","48.81","","","69.03","","","75.44","","","82.44","","","75.81","","","80.11","","","94.15","","","112.83","","","130.19","","","132.06","","","133.97","","","139.53","","","","",""
"Mobile-cellular subscriptions per 100 inhabitants","Georgia","4.46","","","7.01","","","11.83","","","16.78","","","19.89","","","27.89","","","40.67","","","62.39","","","66.51","","","68.87","","","97.05","","","108.56","","","115.61","","","123.33","","","133.84","","","137.93","","","137.76","","","137.26","","","136.38","","","134.72","",""
"Mobile-cellular subscriptions per 100 inhabitants","Germany","59.22","","","68.91","","","72.52","","","79.40","","","87.35","","","97.14","","","105.13","","","118.40","","","130.17","","","129.79","","","109.37","","","112.42","","","114.11","","","123.23","","","122.20","","","117.82","","","125.89","","","132.71","","","129.32","","","128.36","",""
"Mobile-cellular subscriptions per 100 inhabitants","Ghana","0.67","","","1.23","","","1.91","","","3.83","","","7.97","","","13.18","","","23.27","","","33.11","","","49.10","","","62.51","","","70.37","","","83.37","","","98.55","","","105.33","","","111.52","","","125.71","","","134.49","","","126.20","","","137.52","","","134.32","",""
"Mobile-cellular subscriptions per 100 inhabitants","Gibraltar","17.88","","","31.00","","","37.90","","","48.84","","","55.86","","","60.21","","","65.83","","","71.61","","","77.48","","","85.21","","","89.33","","","96.69","","","103.28","","","","","","112.68","","","122.84","","","121.93","","","121.66","","","121.73","","","120.28","",""
"Mobile-cellular subscriptions per 100 inhabitants","Greece","53.53","","","71.52","","","83.29","","","79.65","","","82.99","","","91.41","","","98.16","","","110.56","","","124.99","","","121.31","","","112.91","","","111.99","","","123.92","","","116.56","","","113.49","","","117.89","","","118.12","","","122.40","","","115.67","","","113.45","",""
"Mobile-cellular subscriptions per 100 inhabitants","Greenland","26.91","","","28.20","","","35.25","","","52.46","","","68.65","","","81.61","","","94.61","","","116.64","","","98.20","","","94.25","","","101.26","","","103.87","","","105.29","","","107.07","","","107.84","","","108.20","","","","","","110.34","","","108.54","","","108.79","",""
"Mobile-cellular subscriptions per 100 inhabitants","Grenada","4.18","","","6.21","","","7.29","","","40.66","","","41.51","","","44.77","","","44.02","","","48.85","","","56.92","","","108.16","","","114.79","","","113.16","","","120.91","","","122.95","","","107.57","","","109.28","","","107.90","","","102.08","","","104.24","","","","",""
"Mobile-cellular subscriptions per 100 inhabitants","Guadeloupe","40.24","","","69.61","","","71.88","","","70.44","","","77.50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mobile-cellular subscriptions per 100 inhabitants","Guam","17.51","","","20.84","","","44.85","","","50.60","","","61.99","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mobile-cellular subscriptions per 100 inhabitants","Guatemala","7.35","","","9.61","","","12.92","","","16.28","","","24.76","","","34.44","","","53.58","","","86.84","","","106.73","","","120.89","","","123.50","","","130.31","","","136.12","","","139.24","","","106.21","","","111.50","","","110.14","","","118.16","","","118.67","","","118.73","",""
"Mobile-cellular subscriptions per 100 inhabitants","Guernsey","34.90","","","56.10","","","65.32","","","74.43","","","78.54","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
